txtAuthor,txtBody_Clean,gd_counts,gd_average,liwc_counts,liwc_averge
Ugly_equals_Death,"This was thread was hard to swallow, now i am blackpilled^2",Counter(),0,"Counter({'Function': 6, 'Auxverb': 3, 'Verb': 3, 'FocusPast': 2, 'FocusPresent': 2, 'Adj': 1, 'Percept': 1, 'Feel': 1, 'Prep': 1, 'Bio': 1, 'Ingest': 1, 'Adverb': 1, 'Relativ': 1, 'Time': 1, 'Pronoun': 1, 'Ppron': 1, 'I': 1})",28
SoyUnPerdedor,"brutal blickpall                                  aut said:                                                                                                                    Click to expand...                                      blickpall said:                                    2. Everyone else does relatively poorly with everyone, with the exception of Pacific Islanders doing surprisingly well with some females.            Click to expand...      always thought this one was legit, nice to see it confirmed                                  blickpall said:                                    During the Winter Olympics Tinder has seen a 348% increase in overall Tinder usage in the Olympic Village, plus a 565% in right swipes and a 644% increase in matches.  (Dating Sites Reviews, 2018)    When you put the most physically capable people, many of whom are at the pinnacle of genetic fitness, together in a small confined area, a sex bomb happens. It's like some sort of internal mechanism awakens in the men and women saying, you may never get a chance to mate with a person quite as genetically fit as this; you can't waste the opportunity. The people who didn't make it to the Olympics as competitors are forced to watch from the sidelines and from the comfort of their living rooms, with no opportunity to share in the sexual pursuit of the greatest physical genetic potential on this planet.            Click to expand...","Counter({'relationship': 5, 'surveillance': 3, 'violence': 1, 'planning': 1, 'loneliness': 1, 'help': 1, 'weaponry': 1, 'murder': 1, 'deadline': 1, 'god': 1})",16,"Counter({'Function': 81, 'Prep': 35, 'Relativ': 24, 'Social': 20, 'Verb': 19, 'Space': 19, 'Article': 19, 'CogProc': 17, 'Drives': 14, 'Pronoun': 12, 'Affect': 11, 'FocusPresent': 11, 'Posemo': 9, 'Tentat': 9, 'Adj': 9, 'Auxverb': 8, 'Ipron': 8, 'Percept': 7, 'Conj': 7, 'Compare': 6, 'Bio': 6, 'FocusPast': 5, 'Power': 5, 'Achieve': 5, 'Hear': 4, 'Quant': 4, 'Reward': 4, 'Ppron': 4, 'Health': 4, 'Adverb': 3, 'Certain': 3, 'See': 3, 'Motion': 3, 'You': 3, 'Affiliation': 3, 'Negemo': 2, 'Differ': 2, 'Female': 2, 'Time': 2, 'Interrog': 2, 'Sexual': 2, 'FocusFuture': 2, 'Negate': 2, 'Cause': 2, 'Anger': 1, 'Money': 1, 'Informal': 1, 'Nonflu': 1, 'Insight': 1, 'Number': 1, 'Leisure': 1, 'Male': 1, 'Friend': 1, 'Work': 1, 'They': 1, 'Home': 1})",434
soulartemis,IT won't touch this,Counter({'relationship': 1}),1,"Counter({'Verb': 1, 'Affect': 1, 'Posemo': 1, 'Drives': 1, 'Achieve': 1, 'Reward': 1, 'FocusPast': 1, 'Percept': 1, 'Feel': 1, 'Function': 1, 'Pronoun': 1, 'Ipron': 1})",12
DoomedCel,"Good read, thanks OP. Galactic sized IQ.",Counter({'planning': 1}),1,"Counter({'Verb': 2, 'Work': 1, 'Affect': 1, 'Posemo': 1, 'FocusPresent': 1})",6
Salustio,"Funny thing is that 40 years ago evopsych was called “sociobiology” and was considered a pseudo-science. Now evopsych is taken in high regard by a lot of people.    Anyway, good thread because it backs up our views.                                  soulartemis said:                                    IT won't touch this             Click to expand...      As usual.","Counter({'honour': 1, 'relationship': 1})",2,"Counter({'Function': 18, 'Verb': 9, 'Relativ': 7, 'FocusPast': 7, 'Drives': 6, 'Pronoun': 5, 'Prep': 5, 'Ipron': 4, 'Auxverb': 4, 'Social': 4, 'Space': 4, 'Time': 3, 'CogProc': 3, 'Reward': 3, 'Percept': 3, 'FocusPresent': 2, 'Conj': 2, 'Article': 2, 'Adj': 2, 'Power': 2, 'Affect': 2, 'Posemo': 2, 'Insight': 1, 'Work': 1, 'Quant': 1, 'Tentat': 1, 'Cause': 1, 'Ppron': 1, 'We': 1, 'Affiliation': 1, 'See': 1, 'Hear': 1, 'Achieve': 1, 'Feel': 1})",111
StoicNihilist,Everyone on cucktears needs to see this thread.    Excellent Blackpill information right here.,Counter({'surveillance': 1}),1,"Counter({'Function': 4, 'Prep': 2, 'Relativ': 2, 'Space': 2, 'Verb': 2, 'CogProc': 2, 'FocusPresent': 2, 'Discrep': 1, 'Percept': 1, 'See': 1, 'Pronoun': 1, 'Ipron': 1, 'Insight': 1, 'Adverb': 1})",23
polar inertia,"What a Paragon of a Post. The explanations let you grasp foid motivation and their behaviour on the SMP so much clearer. The Age Pill parts are hitting me hard at almost 38 but you can't close your eyes to evolutionary biology.   Essential Truthpill, should be required reading upon registration.","Counter({'fixation': 1, 'relationship': 1})",2,"Counter({'Function': 22, 'CogProc': 6, 'Verb': 6, 'Prep': 5, 'Auxverb': 5, 'Pronoun': 5, 'Ppron': 5, 'Relativ': 5, 'Social': 4, 'Work': 4, 'Space': 4, 'Article': 3, 'Insight': 3, 'You': 3, 'Percept': 3, 'Conj': 3, 'FocusPresent': 3, 'Feel': 2, 'Adverb': 2, 'Bio': 2, 'Cause': 1, 'Drives': 1, 'Achieve': 1, 'They': 1, 'Motion': 1, 'Quant': 1, 'I': 1, 'Adj': 1, 'Tentat': 1, 'Differ': 1, 'See': 1, 'Body': 1, 'Discrep': 1})",108
satoshisacuck,"KillerCel said:                                    You know what, since nobody is reacting to my request and op is not delivering i will reformat this shining blackpill into a legit article myself. You niggas make me furious, anyways once i'm done ill post it here.            Click to expand...","Counter({'deadline': 2, 'help': 1, 'threat': 1, 'suicide': 1})",5,"Counter({'Function': 22, 'Pronoun': 9, 'Verb': 7, 'Relativ': 6, 'CogProc': 5, 'Ppron': 5, 'I': 5, 'FocusPresent': 4, 'Ipron': 4, 'Prep': 4, 'Auxverb': 4, 'Cause': 3, 'Informal': 3, 'Social': 2, 'Percept': 2, 'FocusPast': 2, 'Time': 2, 'Negate': 2, 'Space': 2, 'Affect': 2, 'Adverb': 2, 'Hear': 1, 'Insight': 1, 'Interrog': 1, 'Drives': 1, 'Power': 1, 'Conj': 1, 'Netspeak': 1, 'Differ': 1, 'Motion': 1, 'FocusFuture': 1, 'See': 1, 'Article': 1, 'Adj': 1, 'Posemo': 1, 'Swear': 1, 'Negemo': 1, 'Anger': 1, 'Filler': 1, 'Number': 1, 'Bio': 1, 'Health': 1})",118
SergeantIncel,Rules & FAQ  Introduction to Incels  Incels: A paper  Blackpill Archive  Incel Wiki  Discord Chat  Site Chat  Telegram Chat  Incel Store  Official Twitter,Counter({'deadline': 1}),1,"Counter({'Function': 1, 'Prep': 1, 'Work': 1})",3
f1rem0th,"I am calling for an all-out male strike. We need to show society what happens when they try to treat us as less than human- we will stop providing our resources and value into society.    Here is what you can do to help      Spread the message. Post on 4chan, Twitter, everywhere! You don't even need to use your real name to do it.  Participate in the strike.  So what exactly will we be doing on our strike?    Simple. Whenever possible, we won't help women and we will tell them that they aren't entitled to our help.      A woman wants your protection? Deny her. Tell her she isn't entitled to it.  Some lost teenage girl needs money for a bus fare? Deny her. Tell her she isn't entitled to it.  Some woman at the store can't reach the top shelf and asks your assistance? Deny her. Tell her she isn't entitled to it.  A woman needs help with homework? Deny her. Tell her she isn't entitled to it.  A woman asks you for directions on the street? Deny her. Tell her she isn't entitled to it.  Spread the message and do whatever you can. We must send a shockwave through society and show them what happens when they subjugate and oppress us!","Counter({'help': 7, 'violence': 4, 'deadline': 3, 'surveillance': 2, 'suicide': 2})",18,"Counter({'Function': 105, 'Social': 60, 'Pronoun': 47, 'Ppron': 35, 'Verb': 26, 'Prep': 25, 'Drives': 23, 'FocusPresent': 22, 'Female': 21, 'Relativ': 15, 'Affiliation': 15, 'SheHe': 15, 'Auxverb': 14, 'CogProc': 13, 'Ipron': 12, 'Space': 11, 'Article': 9, 'Conj': 9, 'We': 9, 'Interrog': 7, 'Power': 7, 'Discrep': 6, 'You': 6, 'They': 5, 'Affect': 5, 'Certain': 4, 'Adverb': 4, 'Achieve': 4, 'Adj': 4, 'Compare': 4, 'FocusFuture': 4, 'Time': 3, 'Posemo': 3, 'Work': 3, 'Quant': 2, 'Percept': 2, 'See': 2, 'Tentat': 2, 'Risk': 2, 'FocusPast': 2, 'Negemo': 2, 'Money': 2, 'Male': 1, 'Differ': 1, 'Cause': 1, 'Reward': 1, 'Sad': 1, 'Home': 1, 'Motion': 1})",578
ScornedStoic,Just go MGTOW bro,Counter(),0,"Counter({'Verb': 1, 'FocusPresent': 1, 'Relativ': 1, 'Motion': 1, 'Social': 1, 'Family': 1, 'Male': 1, 'Drives': 1, 'Affiliation': 1, 'Informal': 1})",10
TheSecondComing,women already don't approach me and ignore me so it would make little difference,"Counter({'planning': 1, 'deadline': 1})",2,"Counter({'Function': 7, 'Relativ': 3, 'Pronoun': 3, 'Verb': 3, 'CogProc': 3, 'Adverb': 2, 'Ppron': 2, 'I': 2, 'Conj': 2, 'FocusPresent': 2, 'Social': 1, 'Female': 1, 'FocusPast': 1, 'Time': 1, 'Drives': 1, 'Reward': 1, 'Motion': 1, 'Affect': 1, 'Negemo': 1, 'Ipron': 1, 'Auxverb': 1, 'Discrep': 1, 'Cause': 1, 'Space': 1, 'Adj': 1, 'Compare': 1, 'Differ': 1})",46
Saung-Hui Cho,Not gonna work because millions of men gin up false hope due to orbiting.,"Counter({'soldier': 1, 'deadline': 1})",2,"Counter({'Function': 4, 'Relativ': 3, 'Prep': 3, 'Verb': 2, 'FocusFuture': 2, 'Drives': 2, 'FocusPresent': 2, 'CogProc': 2, 'Motion': 1, 'Informal': 1, 'Netspeak': 1, 'Achieve': 1, 'Work': 1, 'Conj': 1, 'Cause': 1, 'Number': 1, 'Social': 1, 'Male': 1, 'Power': 1, 'Space': 1, 'Affect': 1, 'Posemo': 1, 'Discrep': 1, 'Tentat': 1, 'Time': 1})",37
Matt00000007,Okay but is that going to change anything and what? They will still find a Chad or a white knight nearby who's going to help them so? What's the exact point?,"Counter({'surveillance': 1, 'honour': 1, 'help': 1, 'planning': 1})",4,"Counter({'Function': 17, 'CogProc': 6, 'Verb': 5, 'Pronoun': 5, 'Relativ': 5, 'Conj': 4, 'Ipron': 4, 'Social': 4, 'FocusFuture': 3, 'Motion': 3, 'Article': 3, 'Differ': 2, 'Auxverb': 2, 'FocusPresent': 2, 'Prep': 2, 'Tentat': 2, 'Interrog': 2, 'Adverb': 2, 'Cause': 1, 'Time': 1, 'Insight': 1, 'Adj': 1, 'Percept': 1, 'See': 1, 'Male': 1, 'Drives': 1, 'Affiliation': 1, 'Power': 1, 'Ppron': 1, 'They': 1, 'Certain': 1, 'Space': 1})",87
PectusManletScarCel,"This will work alot better in the future, I think we're still too early in the collapse unfortunately","Counter({'soldier': 1, 'planning': 1})",2,"Counter({'Function': 8, 'Relativ': 5, 'Drives': 3, 'Time': 3, 'Verb': 2, 'FocusFuture': 2, 'Achieve': 2, 'FocusPresent': 2, 'CogProc': 2, 'Adj': 2, 'Affect': 2, 'Prep': 2, 'Space': 2, 'Article': 2, 'Adverb': 2, 'Auxverb': 1, 'Work': 1, 'Quant': 1, 'Tentat': 1, 'Compare': 1, 'Posemo': 1, 'Reward': 1, 'Insight': 1, 'Pronoun': 1, 'Ppron': 1, 'We': 1, 'Social': 1, 'Affiliation': 1, 'Negemo': 1})",55
Sans,They're not entitled to air.,Counter(),0,"Counter({'Function': 2, 'Negate': 1, 'CogProc': 1, 'Differ': 1, 'Prep': 1, 'Relativ': 1, 'Space': 1})",8
f1rem0th,Matt00000007 said:                                    Okay but is that going to change anything and what? They will still find a Chad or a white knight nearby who's going to help them so? What's the exact point?            Click to expand...      Honestly bro enjoy your last minutes on this forum because you are going to get banned soon. You are clearly a female or IT cuck. Anyone who isn't retarded can instantly tell by how you write.,"Counter({'surveillance': 1, 'honour': 1, 'help': 1, 'planning': 1})",4,"Counter({'Function': 35, 'Verb': 12, 'Social': 12, 'Relativ': 12, 'CogProc': 10, 'Pronoun': 10, 'FocusPresent': 8, 'Conj': 7, 'Ipron': 6, 'Prep': 6, 'Auxverb': 5, 'FocusFuture': 5, 'Adverb': 5, 'Time': 5, 'Motion': 4, 'Interrog': 4, 'Article': 4, 'Ppron': 4, 'Differ': 3, 'Cause': 3, 'Tentat': 3, 'Drives': 3, 'Space': 3, 'You': 3, 'Percept': 2, 'Adj': 2, 'Male': 2, 'Affiliation': 2, 'Certain': 2, 'Informal': 2, 'Hear': 1, 'FocusPast': 1, 'Insight': 1, 'See': 1, 'Power': 1, 'They': 1, 'Family': 1, 'Affect': 1, 'Posemo': 1, 'Reward': 1, 'Female': 1, 'Swear': 1, 'Work': 1})",197
Joelossus,"Sadly we won't accomplish anything by doing that, as long as the majority of men still consists out of cucks.","Counter({'deadline': 1, 'loneliness': 1})",2,"Counter({'Function': 12, 'Prep': 6, 'Pronoun': 3, 'Drives': 3, 'Relativ': 3, 'Social': 2, 'Verb': 2, 'Achieve': 2, 'Ipron': 2, 'Conj': 2, 'Adj': 2, 'Compare': 2, 'Space': 2, 'Ppron': 1, 'We': 1, 'Affiliation': 1, 'Affect': 1, 'Posemo': 1, 'Reward': 1, 'FocusPast': 1, 'Work': 1, 'CogProc': 1, 'Tentat': 1, 'Auxverb': 1, 'Article': 1, 'Quant': 1, 'Male': 1, 'Adverb': 1, 'Time': 1})",59
Ugly_equals_Death,"ScornedStoic said:                                    Just go MGTOW bro            Click to expand...      This. No one will give a shit about non-chad going their own way. The only people who could go on strike and people care are chads, and why should the do that? To get less pussy?","Counter({'relationship': 2, 'loneliness': 1, 'violence': 1})",4,"Counter({'Function': 17, 'Verb': 12, 'Social': 7, 'FocusPresent': 7, 'Relativ': 6, 'Auxverb': 5, 'Motion': 3, 'Informal': 3, 'Prep': 3, 'Space': 3, 'Adverb': 3, 'Pronoun': 3, 'CogProc': 3, 'Drives': 2, 'FocusFuture': 2, 'Article': 2, 'Affect': 2, 'Bio': 2, 'Body': 2, 'Swear': 2, 'Ipron': 2, 'Interrog': 2, 'Discrep': 2, 'Conj': 2, 'Percept': 1, 'Hear': 1, 'FocusPast': 1, 'Family': 1, 'Male': 1, 'Affiliation': 1, 'Number': 1, 'Negemo': 1, 'Anger': 1, 'Ppron': 1, 'They': 1, 'Posemo': 1, 'Cause': 1, 'Reward': 1, 'Adj': 1, 'Compare': 1, 'Quant': 1, 'Sexual': 1})",115
Matt00000007,"f1rem0th said:                                    Honestly bro enjoy your last minutes on this forum because you are going to get banned soon. You are clearly a female or IT cuck. Anyone who isn't retarded can instantly tell by how you write.            Click to expand...      I don't know what to tell you mate, maybe it's because I'm new here so I don't fit in very well but it was an honest question. If I'm going to be banned then I guess I don't even fit in here either.",Counter({'relationship': 2}),2,"Counter({'Function': 39, 'Relativ': 14, 'Verb': 13, 'Social': 12, 'CogProc': 11, 'FocusPresent': 10, 'Adverb': 10, 'Pronoun': 9, 'Prep': 8, 'Conj': 7, 'Time': 6, 'Space': 6, 'Ipron': 5, 'Auxverb': 5, 'Ppron': 4, 'You': 4, 'FocusFuture': 4, 'Adj': 4, 'Tentat': 4, 'Drives': 3, 'Informal': 3, 'Affect': 3, 'Posemo': 3, 'Cause': 3, 'Differ': 3, 'Interrog': 3, 'FocusPast': 2, 'Affiliation': 2, 'Motion': 2, 'Article': 2, 'Insight': 2, 'Percept': 1, 'Hear': 1, 'Family': 1, 'Male': 1, 'Reward': 1, 'Certain': 1, 'Female': 1, 'Swear': 1, 'Work': 1, 'Friend': 1, 'Nonflu': 1, 'Compare': 1, 'Quant': 1})",219
ihaveno1,strikes me,Counter(),0,"Counter({'Function': 1, 'Pronoun': 1, 'Ppron': 1, 'I': 1})",4
ExpiringAspirin,"TheSecondComing said:                                    women already don't approach me and ignore me so it would make little difference            Click to expand...      This , and OP just need to ogrecelmaxx even more , so all foids will avoid, don't warn any normies, wait till more of them get metoo and locked up.","Counter({'planning': 1, 'deadline': 1, 'help': 1, 'threat': 1})",4,"Counter({'Function': 19, 'Verb': 8, 'Relativ': 7, 'Conj': 6, 'CogProc': 6, 'Adverb': 5, 'Drives': 5, 'FocusPresent': 5, 'Prep': 5, 'Pronoun': 4, 'Quant': 4, 'Social': 3, 'Time': 3, 'Ppron': 3, 'Affect': 3, 'Negemo': 3, 'Space': 3, 'Adj': 3, 'Compare': 3, 'FocusPast': 2, 'Reward': 2, 'I': 2, 'Auxverb': 2, 'Discrep': 2, 'Risk': 2, 'Percept': 1, 'Hear': 1, 'Female': 1, 'Motion': 1, 'Ipron': 1, 'Cause': 1, 'Differ': 1, 'Certain': 1, 'FocusFuture': 1, 'Anx': 1, 'Tentat': 1, 'They': 1, 'Power': 1})",123
f1rem0th,You guys are coping! Your attitudes are the problem. If 20-30% of the male population goes on strike it will hit HARD as fuck in society.,"Counter({'paranoia': 1, 'violence': 1, 'weaponry': 1})",3,"Counter({'Function': 10, 'Verb': 6, 'FocusPresent': 4, 'Prep': 4, 'Social': 3, 'Auxverb': 3, 'Relativ': 3, 'Male': 2, 'Article': 2, 'Affect': 2, 'Negemo': 2, 'Space': 2, 'Friend': 1, 'CogProc': 1, 'Discrep': 1, 'Drives': 1, 'Risk': 1, 'Motion': 1, 'Pronoun': 1, 'Ipron': 1, 'FocusFuture': 1, 'Conj': 1, 'Adj': 1, 'Compare': 1, 'Anger': 1, 'Bio': 1, 'Sexual': 1, 'Informal': 1, 'Swear': 1})",60
Sans,"Even if it's just five or ten of us, if we can show just one foid each that they're not entitled to shit, that's still five or ten foids that we impacted.","Counter({'surveillance': 1, 'loneliness': 1})",2,"Counter({'Function': 19, 'Pronoun': 8, 'CogProc': 5, 'Differ': 5, 'Number': 5, 'Conj': 4, 'Tentat': 4, 'Ipron': 4, 'Ppron': 4, 'Social': 4, 'Adverb': 3, 'We': 3, 'Drives': 3, 'Affiliation': 3, 'Discrep': 2, 'Prep': 2, 'Auxverb': 1, 'FocusPresent': 1, 'Percept': 1, 'See': 1, 'Quant': 1, 'They': 1, 'Negate': 1, 'Affect': 1, 'Negemo': 1, 'Anger': 1, 'Bio': 1, 'Body': 1, 'Informal': 1, 'Swear': 1, 'Relativ': 1, 'Time': 1})",94
FinnCel,ScornedStoic said:                                    Just go MGTOW bro            Click to expand...      Literally,Counter(),0,"Counter({'Verb': 2, 'Social': 2, 'Relativ': 2, 'Percept': 1, 'Hear': 1, 'FocusPast': 1, 'FocusPresent': 1, 'Motion': 1, 'Family': 1, 'Male': 1, 'Drives': 1, 'Affiliation': 1, 'Informal': 1, 'Function': 1, 'Prep': 1, 'Space': 1})",19
Arthas93,TheSecondComing said:                                    women already don't approach me and ignore me so it would make little difference            Click to expand...      They don't seek my help even if I am the only person in the room. I don't see how this strike can do any better than what the mgcucks are already doing.,"Counter({'planning': 1, 'deadline': 1, 'help': 1, 'murder': 1, 'surveillance': 1, 'violence': 1})",6,"Counter({'Function': 26, 'Verb': 9, 'Relativ': 7, 'FocusPresent': 7, 'CogProc': 7, 'Adverb': 6, 'Pronoun': 6, 'Auxverb': 6, 'Social': 4, 'Conj': 4, 'Space': 4, 'FocusPast': 3, 'Drives': 3, 'Ppron': 3, 'I': 3, 'Ipron': 3, 'Adj': 3, 'Compare': 3, 'Differ': 3, 'Prep': 3, 'Article': 3, 'Percept': 2, 'Time': 2, 'Reward': 2, 'Affect': 2, 'Discrep': 2, 'Cause': 2, 'Tentat': 2, 'Interrog': 2, 'Hear': 1, 'Female': 1, 'Motion': 1, 'Negemo': 1, 'Affiliation': 1, 'Power': 1, 'Home': 1, 'See': 1, 'Quant': 1, 'Posemo': 1, 'Achieve': 1})",143
DeformAspergerCel,"assuming all those that are disenfranchised by the sexual market do this in unison, the only thing that would happen in practice is that Chad's harem grows even larger as more and more foids turn to him and his resources for protection. I have a bettER idea","Counter({'relationship': 1, 'planning': 1})",2,"Counter({'Function': 26, 'Pronoun': 8, 'Verb': 7, 'FocusPresent': 7, 'Ipron': 6, 'Prep': 6, 'Auxverb': 5, 'CogProc': 4, 'Relativ': 4, 'Adj': 4, 'Compare': 4, 'Quant': 3, 'Article': 3, 'Work': 3, 'Space': 3, 'Drives': 3, 'Conj': 3, 'Insight': 2, 'Adverb': 2, 'Ppron': 2, 'SheHe': 2, 'Social': 2, 'Male': 2, 'Tentat': 1, 'Certain': 1, 'Bio': 1, 'Sexual': 1, 'Money': 1, 'Discrep': 1, 'Achieve': 1, 'Power': 1, 'Motion': 1, 'Risk': 1})",121
Matt00000007,DeformAspergerCel said:                                    only thing that will happen in practice by doing this is that Chad's harem grows even larger as more and more foids turn to him and his resources for protection. I have a bettER idea            Click to expand...      This.,Counter({'planning': 1}),1,"Counter({'Function': 21, 'Verb': 7, 'Pronoun': 6, 'Prep': 6, 'FocusPresent': 5, 'Ipron': 4, 'Auxverb': 4, 'Relativ': 4, 'Adj': 4, 'Compare': 4, 'Social': 3, 'Space': 3, 'Drives': 3, 'Conj': 3, 'Adverb': 2, 'Work': 2, 'Quant': 2, 'Ppron': 2, 'SheHe': 2, 'Male': 2, 'Percept': 1, 'Hear': 1, 'FocusPast': 1, 'FocusFuture': 1, 'Achieve': 1, 'Power': 1, 'Motion': 1, 'Risk': 1, 'Article': 1, 'CogProc': 1, 'Insight': 1})",100
Reimu Hakurei,"Joelossus said:                                    Sadly we won't accomplish anything by doing that, as long as the majority of men still consists out of cucks.            Click to expand...","Counter({'deadline': 1, 'loneliness': 1})",2,"Counter({'Function': 13, 'Prep': 7, 'Relativ': 4, 'Verb': 3, 'Social': 3, 'Pronoun': 3, 'Drives': 3, 'Space': 3, 'FocusPast': 2, 'Achieve': 2, 'Ipron': 2, 'Conj': 2, 'Adj': 2, 'Compare': 2, 'Percept': 1, 'Hear': 1, 'Ppron': 1, 'We': 1, 'Affiliation': 1, 'Affect': 1, 'Posemo': 1, 'Reward': 1, 'Work': 1, 'CogProc': 1, 'Tentat': 1, 'Auxverb': 1, 'Article': 1, 'Quant': 1, 'Male': 1, 'Adverb': 1, 'Time': 1})",68
happiless,A woman wants your protection? Deny her. Tell her she isn't entitled to it.  Some lost teenage girl needs money for a bus fare? Deny her. Tell her she isn't entitled to it.  Some woman at the store can't reach the top shelf and asks your assistance? Deny her. Tell her she isn't entitled to it.  A woman needs help with homework? Deny her. Tell her she isn't entitled to it.  A woman asks you for directions on the street? Deny her. Tell her she isn't entitled to it.  Such actions might get you sex    well there goes the chance for a male strike. try again when most men are . Try again when water is dry,"Counter({'help': 2, 'suicide': 1, 'deadline': 1, 'relationship': 1, 'violence': 1})",6,"Counter({'Function': 52, 'Social': 30, 'Pronoun': 24, 'Female': 20, 'Ppron': 19, 'SheHe': 15, 'Verb': 12, 'FocusPresent': 11, 'Prep': 11, 'Relativ': 11, 'CogProc': 7, 'Drives': 7, 'Article': 6, 'Adverb': 6, 'Ipron': 5, 'Space': 5, 'You': 4, 'Auxverb': 4, 'Tentat': 4, 'Time': 4, 'Discrep': 3, 'Achieve': 3, 'Power': 3, 'Adj': 3, 'Conj': 3, 'FocusFuture': 2, 'Affect': 2, 'Money': 2, 'Compare': 2, 'Work': 2, 'Motion': 2, 'Bio': 2, 'Male': 2, 'Interrog': 2, 'Risk': 1, 'Negemo': 1, 'Sad': 1, 'FocusPast': 1, 'Affiliation': 1, 'Home': 1, 'Reward': 1, 'Sexual': 1, 'Posemo': 1, 'Informal': 1, 'Nonflu': 1, 'Quant': 1, 'Ingest': 1, 'Percept': 1, 'Feel': 1})",305
Dionysus,TheSecondComing said:                                    women already don't approach me and ignore me so it would make little difference            Click to expand...,"Counter({'planning': 1, 'deadline': 1})",2,"Counter({'Function': 8, 'Verb': 4, 'Relativ': 4, 'Pronoun': 3, 'CogProc': 3, 'Social': 2, 'FocusPast': 2, 'Adverb': 2, 'Ppron': 2, 'I': 2, 'Conj': 2, 'FocusPresent': 2, 'Space': 2, 'Percept': 1, 'Hear': 1, 'Female': 1, 'Time': 1, 'Drives': 1, 'Reward': 1, 'Motion': 1, 'Affect': 1, 'Negemo': 1, 'Ipron': 1, 'Auxverb': 1, 'Discrep': 1, 'Cause': 1, 'Adj': 1, 'Compare': 1, 'Differ': 1, 'Prep': 1})",55
VirtueSignaller,"f1rem0th said:                                    I am calling for an all-out male strike. We need to show society what happens when they try to treat us as less than human- we will stop providing our resources and value into society.    Here is what you can do to help      Spread the message. Post on 4chan, Twitter, everywhere! You don't even need to use your real name to do it.  Participate in the strike.  So what exactly will we be doing on our strike?    Simple. Whenever possible, we won't help women and we will tell them that they aren't entitled to our help.      A woman wants your protection? Deny her. Tell her she isn't entitled to it.  Some lost teenage girl needs money for a bus fare? Deny her. Tell her she isn't entitled to it.  Some woman at the store can't reach the top shelf and asks your assistance? Deny her. Tell her she isn't entitled to it.  A woman needs help with homework? Deny her. Tell her she isn't entitled to it.  A woman asks you for directions on the street? Deny her. Tell her she isn't entitled to it.  Spread the message and do whatever you can. We must send a shockwave through society and show them what happens when they subjugate and oppress us!            Click to expand...      Go NEET.  A better strike would be for all wagecucks to not go to work on the same day.","Counter({'help': 7, 'violence': 5, 'deadline': 3, 'surveillance': 2, 'suicide': 2, 'soldier': 1})",20,"Counter({'Function': 114, 'Social': 61, 'Pronoun': 47, 'Ppron': 35, 'Verb': 30, 'Prep': 30, 'FocusPresent': 25, 'Drives': 25, 'Female': 21, 'Relativ': 19, 'Auxverb': 16, 'CogProc': 16, 'Affiliation': 15, 'SheHe': 15, 'Space': 13, 'Ipron': 12, 'Article': 10, 'Conj': 9, 'We': 9, 'Discrep': 7, 'Interrog': 7, 'Power': 7, 'Achieve': 6, 'Affect': 6, 'Adj': 6, 'Compare': 6, 'You': 6, 'Certain': 5, 'They': 5, 'Adverb': 4, 'Time': 4, 'Posemo': 4, 'FocusFuture': 4, 'Work': 4, 'Percept': 3, 'FocusPast': 3, 'Quant': 3, 'See': 2, 'Tentat': 2, 'Differ': 2, 'Risk': 2, 'Reward': 2, 'Negemo': 2, 'Money': 2, 'Motion': 2, 'Hear': 1, 'Male': 1, 'Cause': 1, 'Sad': 1, 'Home': 1, 'Negate': 1})",634
Insomniac,ihaveno1 said:                                    strikes me            Click to expand...,Counter(),0,"Counter({'Function': 2, 'Verb': 1, 'Social': 1, 'Percept': 1, 'Hear': 1, 'FocusPast': 1, 'Pronoun': 1, 'Ppron': 1, 'I': 1, 'Prep': 1, 'Relativ': 1, 'Space': 1})",13
DaveBuster,"Saung-Hui Cho said:                                    Not gonna work because millions of men gin up false hope due to orbiting.            Click to expand...                                      Matt00000007 said:                                    Okay but is that going to change anything and what? They will still find a Chad or a white knight nearby who's going to help them so? What's the exact point?            Click to expand...                                      Joelossus said:                                    Sadly we won't accomplish anything by doing that, as long as the majority of men still consists out of cucks.            Click to expand...      It's a very very long term thing, and needs to spread.","Counter({'deadline': 2, 'loneliness': 2, 'soldier': 1, 'surveillance': 1, 'honour': 1, 'help': 1, 'planning': 1})",9,"Counter({'Function': 42, 'Relativ': 16, 'Prep': 15, 'Verb': 13, 'Social': 10, 'CogProc': 10, 'Pronoun': 9, 'Conj': 8, 'Space': 8, 'Ipron': 7, 'Drives': 6, 'FocusFuture': 5, 'FocusPresent': 5, 'Adverb': 5, 'Article': 5, 'Percept': 4, 'FocusPast': 4, 'Motion': 4, 'Tentat': 4, 'Time': 4, 'Hear': 3, 'Achieve': 3, 'Male': 3, 'Auxverb': 3, 'Adj': 3, 'Work': 2, 'Cause': 2, 'Power': 2, 'Affect': 2, 'Posemo': 2, 'Discrep': 2, 'Differ': 2, 'Interrog': 2, 'Affiliation': 2, 'Ppron': 2, 'Compare': 2, 'Informal': 1, 'Netspeak': 1, 'Number': 1, 'Insight': 1, 'See': 1, 'They': 1, 'Certain': 1, 'We': 1, 'Reward': 1, 'Quant': 1})",231
